GS (GOLDMAN SACHS GROUP INC),121.30,-1.51,
Apr 26 2009 @ 21:34 ET,Bid,121.55,Ask,121.94,Size,2x1,Vol,22410665,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
09 May 10.00 (GQ EB),0.0,0.0,111.20,112.80,0,0,09 May 10.00 (GQ QB),0.0,0.0,0.0,0.03,0,0,
09 May 10.00 (GQ EB-E),0.0,0.0,111.15,112.80,0,0,09 May 10.00 (GQ QB-E),0.0,0.0,0.0,0.03,0,0,
09 May 10.00 (GQ EB-8),0.0,0.0,111.20,112.80,0,0,09 May 10.00 (GQ QB-8),0.0,0.0,0.0,0.03,0,0,
09 May 10.00 (GQ EB-X),0.0,0.0,111.20,112.80,0,0,09 May 10.00 (GQ QB-X),0.0,0.0,0.0,0.03,0,0,
09 May 10.00 (GQ EB-P),0.0,0.0,111.20,112.80,0,0,09 May 10.00 (GQ QB-P),0.0,0.0,0.0,0.03,0,0,
09 May 10.00 (GQ EB-A),0.0,0.0,109.60,114.10,0,0,09 May 10.00 (GQ QB-A),0.0,0.0,0.0,0.05,0,0,
09 May 10.00 (GQ EB-B),0.0,0.0,111.15,112.85,0,0,09 May 10.00 (GQ QB-B),0.0,0.0,0.0,0.03,0,0,
09 May 12.50 (GQ EV),108.83,0.0,108.70,110.30,0,1,09 May 12.50 (GQ QV),0.0,0.0,0.0,0.03,0,0,
09 May 12.50 (GQ EV-E),0.0,0.0,108.65,110.30,0,1,09 May 12.50 (GQ QV-E),0.0,0.0,0.0,0.03,0,0,
09 May 12.50 (GQ EV-8),108.83,0.0,108.70,110.30,0,1,09 May 12.50 (GQ QV-8),0.0,0.0,0.0,0.03,0,0,
09 May 12.50 (GQ EV-X),105.60,0.0,108.70,110.30,0,1,09 May 12.50 (GQ QV-X),0.0,0.0,0.0,0.03,0,0,
09 May 12.50 (GQ EV-P),0.0,0.0,108.70,110.30,0,1,09 May 12.50 (GQ QV-P),0.0,0.0,0.0,0.03,0,0,
09 May 12.50 (GQ EV-A),0.0,0.0,107.10,111.60,0,1,09 May 12.50 (GQ QV-A),0.0,0.0,0.0,0.05,0,0,
09 May 12.50 (GQ EV-B),0.0,0.0,108.65,110.35,0,1,09 May 12.50 (GQ QV-B),0.0,0.0,0.0,0.03,0,0,
09 May 15.00 (GQ EC),107.55,+4.45,106.20,107.80,4,1,09 May 15.00 (GQ QC),0.0,0.0,0.0,0.03,0,0,
09 May 15.00 (GQ EC-E),0.0,0.0,106.15,107.80,0,1,09 May 15.00 (GQ QC-E),0.0,0.0,0.0,0.03,0,0,
09 May 15.00 (GQ EC-8),107.55,0.0,106.20,107.80,4,1,09 May 15.00 (GQ QC-8),0.0,0.0,0.0,0.03,0,0,
09 May 15.00 (GQ EC-X),103.10,0.0,106.20,107.80,0,1,09 May 15.00 (GQ QC-X),0.0,0.0,0.0,0.03,0,0,
09 May 15.00 (GQ EC-P),0.0,0.0,106.20,107.80,0,1,09 May 15.00 (GQ QC-P),0.0,0.0,0.0,0.03,0,0,
09 May 15.00 (GQ EC-A),0.0,0.0,104.60,109.10,0,1,09 May 15.00 (GQ QC-A),0.0,0.0,0.0,0.05,0,0,
09 May 15.00 (GQ EC-B),0.0,0.0,106.15,107.85,0,1,09 May 15.00 (GQ QC-B),0.0,0.0,0.0,0.03,0,0,
09 May 17.50 (GQ EW),103.80,0.0,103.70,105.30,0,0,09 May 17.50 (GQ QW),0.0,0.0,0.0,0.03,0,0,
09 May 17.50 (GQ EW-E),0.0,0.0,103.65,105.30,0,0,09 May 17.50 (GQ QW-E),0.0,0.0,0.0,0.03,0,0,
09 May 17.50 (GQ EW-8),91.93,0.0,103.70,105.30,0,0,09 May 17.50 (GQ QW-8),0.0,0.0,0.0,0.03,0,0,
