SPX (S&P 500 INDEX),866.23,14.31,,,,,,,,,,,
Apr 26 2009 @ 21:26 ET,,,,,,,,,,,,,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int
09 May 600.00 (JXA EL-E),0,0,268.2,271.2,0,0,09 May 600.00 (JXA QL-E),0.05,0,0,0.05,90,0
09 May 625.00 (JXA EZ-E),0,0,243.3,246.3,0,0,09 May 625.00 (JXA QZ-E),0.1,-0.05,0.05,0.1,1512,0
09 May 650.00 (JXA EM-E),0,0,218.3,221.3,0,0,09 May 650.00 (JXA QM-E),0.15,-0.1,0.1,0.15,3681,0
09 May 675.00 (JXA EU-E),0,0,193.4,196.4,0,0,09 May 675.00 (JXA QU-E),0.2,-0.15,0.2,0.25,4348,0
09 May 700.00 (JXA EN-E),0,0,168.6,171.6,0,0,09 May 700.00 (JXA QN-E),0.35,-0.25,0.3,0.4,1976,0
09 May 725.00 (JXA EV-E),0,0,143.8,146.8,0,0,09 May 725.00 (JXA QV-E),0.55,-0.2,0.4,0.5,3975,0
09 May 750.00 (JXA EO-E),0,0,119.1,122,0,0,09 May 750.00 (JXA QO-E),0.8,-0.1,0.75,0.9,332,0
09 May 775.00 (JXA EW-E),0,0,94.4,97.4,0,0,09 May 775.00 (JXA QW-E),1.35,0.2,1.25,1.5,2651,0
09 May 800.00 (JXA EP-E),61.6,0,70.2,73.2,1,0,09 May 800.00 (JXA QP-E),2.4,-0.2,2,2.25,1020,0
09 May 825.00 (JXA EX-E),41.7,3.7,47.7,49.5,145,0,09 May 825.00 (JXA QX-E),4.3,-0.15,3.5,4.3,514,0
09 May 850.00 (JXA EQ-E),25.3,5.1,27.5,28.8,69,0,09 May 850.00 (JXA QQ-E),10,-2.4,8,8.9,208,0
09 May 875.00 (JXA EY-E),12.3,4.8,12,13.3,299,0,09 May 875.00 (JXA QY-E),21.7,-1.3,17.2,18.5,115,0
09 May 900.00 (JXA ER-E),3.5,1.5,3.6,4.3,298,0,09 May 900.00 (JXA QR-E),0,0,33.4,35.2,0,0
09 May 925.00 (JXA EK-E),0.6,0.15,0.7,1.1,473,0,09 May 925.00 (JXA QK-E),0,0,55.3,57.1,0,0
09 May 950.00 (JXA ES-E),0.3,-0.05,0.05,0.2,38,0,09 May 950.00 (JXA QS-E),0,0,79.1,82.1,0,0
09 May 200.00 (SPV ED-E),0,0,666.7,669.7,0,0,09 May 200.00 (SPV QD-E),0.05,0,0,0.05,0,60347
09 May 300.00 (SPV ET-E),554.4,0,566.7,569.7,0,17450,09 May 300.00 (SPV QT-E),0.05,0,0,0.05,0,39883
